date,time,seconds,state,sensor_name,thing_name,thing_ip
06/10/24,19:00,1718064011.1325195,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,09:40,1718116829.3146367,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,09:40,1718116830.7644866,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,09:43,1718117024.996371,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,09:43,1718117025.5311902,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,09:43,1718117031.0048313,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,09:43,1718117031.537366,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,10:33,1718120020.5018752,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,10:33,1718120020.8434594,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,10:33,1718120026.5100672,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,10:33,1718120026.851424,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,10:34,1718120044.5325432,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,10:34,1718120044.8711472,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,10:34,1718120050.540561,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,10:34,1718120050.8788445,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,11:02,1718121748.5123043,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,11:02,1718121748.7428002,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,11:06,1718121990.7944438,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,11:06,1718121991.0091083,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,12:52,1718128346.004515,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,12:52,1718128346.1824813,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,12:52,1718128350.010307,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,12:52,1718128350.188107,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,12:58,1718128736.433571,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,12:58,1718128736.64167,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,12:59,1718128746.4461594,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,12:59,1718128746.6538937,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,13:06,1718129168.90525,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,13:06,1718129169.149595,1.0,Door Sensor,Back Door Pi,192.168.86.151
